#,Company,Instagram Handle,Instagram URL,City/Region,Phone (call/text),Email,Website,Channel Plan,Status,Date Contacted,Follow-up Date,Notes
26,Ohio Heating & Refrigeration,@ohioheating,https://www.instagram.com/ohioheating/,"Columbus, OH",,,,IG DM,Not contacted,,,
27,Novak Heating & Cooling,@novakhvac,https://www.instagram.com/novakhvac/,"Akron, OH",,,,IG DM,Not contacted,,,
28,Huge Heating & Cooling,@hugeheatingandcooling,https://www.instagram.com/hugeheatingandcooling/,Northeast OH,,,,IG DM,Not contacted,,,
29,Carpenter Heating Cooling Plumbing Electric,@carpenter_columbus,https://www.instagram.com/carpenter_columbus/,"Columbus, OH",,,,IG DM,Not contacted,,,
30,Atlas Butler,@atlasbutler,https://www.instagram.com/atlasbutler/,"Columbus, OH",,,,IG DM,Not contacted,,,
31,Buckeye Heating Cooling Plumbing & Electrical,@buckeyeheatingandcooling,https://www.instagram.com/buckeyeheatingandcooling/,Ohio,,,,IG DM,Not contacted,,,
32,Quality Heating & Cooling,@qualityheatingcooling,https://www.instagram.com/qualityheatingcooling/,"Massillon/Canton, OH",,,,IG DM,Not contacted,,,
33,Georgia Air Conditioning & Heating Repair,@georgiaairspecialists,https://www.instagram.com/georgiaairspecialists/,Southeast GA,,,,IG DM,Not contacted,,,
34,Georgian Heating & Air,@georgianhvac,https://www.instagram.com/georgianhvac/,Georgia,,,,IG DM,Not contacted,,,
35,E. Smith Heating & Air Conditioning,@esmithhvac,https://www.instagram.com/esmithhvac/,"Marietta, GA",,,,IG DM,Not contacted,,,
36,Reliable Heating & Air,@reliableheatingandair,https://www.instagram.com/reliableheatingandair/,"Atlanta, GA",,,,IG DM,Not contacted,,,
37,Bentley Heating & Air Conditioning,@bentley_hvac,https://www.instagram.com/bentley_hvac/,South GA,,,,IG DM,Not contacted,,,
38,Air Control Heating & Air,@aircontrol_heatingandair,https://www.instagram.com/aircontrol_heatingandair/,"North Atlanta, GA",,,,IG DM,Not contacted,,,
39,Meeks Air,@meeksheatingandair,https://www.instagram.com/meeksheatingandair/,Georgia,,,,IG DM,Not contacted,,,
40,Comfort Shield HVAC,@comfortshieldhvac,https://www.instagram.com/comfortshieldhvac/,"Hiram, GA",,,,IG DM,Not contacted,,,
41,New Heights Heating & Air,@newheightshvac,https://www.instagram.com/newheightshvac/,"Metro Atlanta, GA",,,,IG DM,Not contacted,,,
42,Ogeechee Heating & Air,@ogeecheehvac,https://www.instagram.com/ogeecheehvac/,Southeast GA,,,,IG DM,Not contacted,,,
43,Carolina Cool Heating and Air,@callcarolinacool,https://www.instagram.com/callcarolinacool/,"Fayetteville, NC",,,,IG DM,Not contacted,,,
44,Davis Heating and Air LLC,@hvacdavishp,https://www.instagram.com/hvacdavishp/,"High Point, NC",(336) 462-7120,,,IG DM,Not contacted,,,
45,All American Heating & Air,@allamericanhap,https://www.instagram.com/allamericanhap/,"Raleigh, NC",,,,IG DM,Not contacted,,,
46,Tuttle Heating & Air Inc,@tuttlehvac,https://www.instagram.com/tuttlehvac/,"Greensboro, NC",(336) 362-5142,,,IG DM,Not contacted,,,
47,Carolina Air,@carolinaair.inc,https://www.instagram.com/carolinaair.inc/,North Carolina,,,,IG DM,Not contacted,,,
48,Solutions Heating & Air Conditioning LLC,@solutionshvacnc,https://www.instagram.com/solutionshvacnc/,"Charlotte, NC",(704) 737-5643,,,IG DM,Not contacted,,,
49,Integrity Heating and Cooling,@ihvac_nc,https://www.instagram.com/ihvac_nc/,"Charlotte/Lake Norman, NC",,,,IG DM,Not contacted,,,
50,Langley Heating And Air,@langley_hvac,https://www.instagram.com/langley_hvac/,"Wake Forest, NC",,,,IG DM,Not contacted,,,
51,Pleasant Air Inc,@pleasantair_,https://www.instagram.com/pleasantair_/,"Hampstead, NC",,,,IG DM,Not contacted,,,
52,Richardson's Heating and Air LLC,@richardsonsheatingandair,https://www.instagram.com/richardsonsheatingandair/,North Carolina,,,,IG DM,Not contacted,,,
53,American Heating & Cooling,@americanhc,https://www.instagram.com/americanhc/,"Nashville, TN",(615) 383-3072,,,IG DM,Not contacted,,,
54,Cagle Service Heating & Air,@cagleservicellc,https://www.instagram.com/cagleservicellc/,"Jackson, TN",(731) 300-1030,,,IG DM,Not contacted,,,
55,OPACHS HVAC,@opachs_,https://www.instagram.com/opachs_/,"Memphis, TN",(901) 443-5153,,,IG DM,Not contacted,,,
56,Nashville HVAC Group,@nashvillehvacgroup,https://www.instagram.com/nashvillehvacgroup/,"Nashville, TN",(615) 578-5225,,,IG DM,Not contacted,,,
57,McCoy's Heating and Air,@mccoysheatingandair,https://www.instagram.com/mccoysheatingandair/,"Jackson, TN",,,,IG DM,Not contacted,,,
58,Pioneer Heating Cooling Plumbing & Electrical,@pioneerhomecomfort,https://www.instagram.com/pioneerhomecomfort/,"Nashville, TN",,,,IG DM,Not contacted,,,
59,Taylor Gas Heating & Air,@taylor.gas.heating.air,https://www.instagram.com/taylor.gas.heating.air/,Tennessee,,,,IG DM,Not contacted,,,
60,Comfort Engineered Systems,@comfort_engineered_systems,https://www.instagram.com/comfort_engineered_systems/,Middle TN,,,,IG DM,Not contacted,,,
61,Sunset Heating & Air,@sunset.hvac,https://www.instagram.com/sunset.hvac/,"Tooele County, UT",,,,IG DM,Not contacted,,,
62,CO Discount Heating & Cooling,@coloradodiscounthvac,https://www.instagram.com/coloradodiscounthvac/,Colorado,,,,IG DM,Not contacted,,,
63,Advantage Heating & Cooling,@advantageheatingcs,https://www.instagram.com/advantageheatingcs/,"Colorado Springs, CO",,,,IG DM,Not contacted,,,
64,Efficient Comfort Heating Cooling and Mechanical,@efficientcomfortco,https://www.instagram.com/efficientcomfortco/,"Westminster, CO",,,,IG DM,Not contacted,,,
65,Mitchell Heating & Cooling,@mitchellheatingco,https://www.instagram.com/mitchellheatingco/,"Denver, CO",,,,IG DM,Not contacted,,,
66,UniColorado Heating & Cooling,@unicolorado,https://www.instagram.com/unicolorado/,"Denver, CO",,,,IG DM,Not contacted,,,
67,A-1 Heating and Cooling Inc,@a1heatingcooling,https://www.instagram.com/a1heatingcooling/,Western CO,,,,IG DM,Not contacted,,,
68,Welzig Heating & Air,@welzighvac,https://www.instagram.com/welzighvac/,Northern CO,,,,IG DM,Not contacted,,,
69,Fort Collins Heating & Air,@fortcollinsheating,https://www.instagram.com/fortcollinsheating/,"Fort Collins, CO",,,,IG DM,Not contacted,,,
70,The Heat and Air Guy,@theheatandairguy,https://www.instagram.com/theheatandairguy/,Oklahoma,,,,IG DM,Not contacted,,,
71,Hardin's Heating and Cooling,@hardinsair,https://www.instagram.com/hardinsair/,"Oklahoma City, OK",,,,IG DM,Not contacted,,,
72,HighPoint Heat & Air,@highpointhvacok,https://www.instagram.com/highpointhvacok/,"Oklahoma City, OK",,,,IG DM,Not contacted,,,
73,OKC Plumbing and HVAC,@okcplumbingandhvac,https://www.instagram.com/okcplumbingandhvac/,"Oklahoma City, OK",,,,IG DM,Not contacted,,,
74,Wisdom Heating & Cooling,@wisdom.heating.cooling,https://www.instagram.com/wisdom.heating.cooling/,Central/Western OK,,,,IG DM,Not contacted,,,
75,Norman Air,@normanair,https://www.instagram.com/normanair/,"Norman, OK",,,,IG DM,Not contacted,,,
76,ASAP Heating Air & Plumbing,@asapheatingandairok,https://www.instagram.com/asapheatingandairok/,"Tulsa/OKC, OK",,,,IG DM,Not contacted,,,
77,Bowen Heating & Air,@bowenhvac,https://www.instagram.com/bowenhvac/,Oklahoma,,,,IG DM,Not contacted,,,
78,Michigan Heating & Cooling,@michigan_heating_cooling,https://www.instagram.com/michigan_heating_cooling/,"Thumb area, MI",,,,IG DM,Not contacted,,,
79,Metro Detroit Heating Cooling LLC,@metro_detroit_heating_cooling,https://www.instagram.com/metro_detroit_heating_cooling/,"Metro Detroit, MI",,,,IG DM,Not contacted,,,
80,Fleetwood's Heating & Cooling,@fleetwoods_heating,https://www.instagram.com/fleetwoods_heating/,Southwest MI,,,,IG DM,Not contacted,,,
81,McCarver Mechanical Heating and Cooling,@mccarver_mechanical,https://www.instagram.com/mccarver_mechanical/,Southeast MI,,,,IG DM,Not contacted,,,
82,Level One HVAC Services,@levelonehvac,https://www.instagram.com/levelonehvac/,Michigan,,,,IG DM,Not contacted,,,
83,Hendricks Heating,@hendricksheating,https://www.instagram.com/hendricksheating/,"Grand Rapids, MI",,,,IG DM,Not contacted,,,
84,911 Mechanical Heating Cooling & Plumbing,@911mechanical,https://www.instagram.com/911mechanical/,"Metro Detroit, MI",,,,IG DM,Not contacted,,,
85,Ehlers HVAC,@ehlersheatingac,https://www.instagram.com/ehlersheatingac/,"Metro Detroit, MI",,,,IG DM,Not contacted,,,
86,Boelcke Heating and Plumbing,@boelckeheating,https://www.instagram.com/boelckeheating/,Southwest MI,,,,IG DM,Not contacted,,,
87,Southern Comfort Heating & Air Services,@callsoutherncomfort,https://www.instagram.com/callsoutherncomfort/,"Houston, TX",,,,IG DM,Not contacted,,,
88,Climate Experts HVAC,@climatexperts_houston,https://www.instagram.com/climatexperts_houston/,"Houston, TX",,,,IG DM,Not contacted,,,
89,Air Tech of Houston,@airtechofhouston,https://www.instagram.com/airtechofhouston/,"Houston, TX",(713) 699-0623,,,IG DM,Not contacted,,,
90,Mr. Reliable Heating & Air,@callmrreliable,https://www.instagram.com/callmrreliable/,"Houston, TX",,,,IG DM,Not contacted,,,
91,AIRTEAM LTD,@airteamltd,https://www.instagram.com/airteamltd/,"Houston, TX",(713) 936-5346,,,IG DM,Not contacted,,,
92,H-Town AC Repair,@htownacrepairhouston,https://www.instagram.com/htownacrepairhouston/,"Houston, TX",(832) 404-2062,,,IG DM,Not contacted,,,
93,ACTexas,@actexas_hvac,https://www.instagram.com/actexas_hvac/,Texas,,,,IG DM,Not contacted,,,
94,Jerry's Heating And Cooling,@jerrysheatingandcooling,https://www.instagram.com/jerrysheatingandcooling/,"Branson, MO",,,,IG DM,Not contacted,,,
95,SS&B Heating & Cooling,@ssbheatingcooling,https://www.instagram.com/ssbheatingcooling/,"Springfield, MO",,,,IG DM,Not contacted,,,
96,Faszold Heating & Cooling,@faszoldservice,https://www.instagram.com/faszoldservice/,"O'Fallon, MO",,,,IG DM,Not contacted,,,
97,Design Aire Heating & Cooling,@designairehvac,https://www.instagram.com/designairehvac/,"St. Louis, MO",,,,IG DM,Not contacted,,,
98,Stevens Heating & Cooling,@stevensheatingandcooling,https://www.instagram.com/stevensheatingandcooling/,"Centralia, MO",,,,IG DM,Not contacted,,,
99,Maurer Heating & Cooling Company,@maurerheating,https://www.instagram.com/maurerheating/,Missouri,,,,IG DM,Not contacted,,,
100,Meyer Heating & Air,@meyer_air,https://www.instagram.com/meyer_air/,"St. Louis, MO",,,,IG DM,Not contacted,,,
